title,link,video_id,channel,views,snippet,length_str,parsed_length,parsed_views,related_to
Codie Sanchez: They're Lying To You About How To Get Rich! How To Turn $0 Into $1M!,https://www.youtube.com/watch?v=IYu_PDPqKFc,IYu_PDPqKFc,The Diary Of A CEO,"2,192,188 views",,2:03:31,7411,2192188,uLPz0WmYv_E
Scott Galloway: The ONLY Savings Strategy You Need In Your 20s & 30s (Start With 3%),https://www.youtube.com/watch?v=wmtCENAmYmU,wmtCENAmYmU,Jay Shetty Podcast,"283,179 views",,1:29:45,5385,283179,uLPz0WmYv_E
FULL SPEECH: Trump addresses Congress,https://www.youtube.com/watch?v=T8JvnG0r8vM,T8JvnG0r8vM,FOX 5 New York,"1,088,942 views",,1:39:11,5951,1088942,uLPz0WmYv_E
Mel Robbins: The ‘Let Them Theory’ (A Life-Changing Hack That 15M People Can’t Stop Talking About),https://www.youtube.com/watch?v=P91b4civBxA,P91b4civBxA,Jay Shetty Podcast,"922,382 views",,1:23:57,5037,922382,uLPz0WmYv_E
The 3 MONEY MYTHS That Keep You Poor! (How To Build Wealth) | Jaspreet Singh & Jay Shetty,https://www.youtube.com/watch?v=Y3WmxC9uyns,Y3WmxC9uyns,Jay Shetty Podcast,"2,227,884 views",,1:11:41,4301,2227884,uLPz0WmYv_E
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,169,170 views",,2:38:50,9530,2169170,uLPz0WmYv_E
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"822,832 views",,1:22:08,4928,822832,uLPz0WmYv_E
The Fastest Way To Lose Belly Fat (THIS Is The Best Kept Weight Loss Secret) | Dr. Mindy Pelz,https://www.youtube.com/watch?v=bL2J_657prk,bL2J_657prk,Jay Shetty Podcast,"1,118,428 views",,1:29:01,5341,1118428,uLPz0WmYv_E
NVIDIA CEO Jensen Huang's Vision for the Future,https://www.youtube.com/watch?v=7ARBJQn6QkM,7ARBJQn6QkM,Cleo Abram,"1,974,480 views",,1:03:03,3783,1974480,uLPz0WmYv_E
How To Handle Difficult People & Take Back Your Peace and Power,https://www.youtube.com/watch?v=XhBp6GZzH6k,XhBp6GZzH6k,Mel Robbins,"234,236 views",,50:59,3059,234236,uLPz0WmYv_E
Something Strange Happens When You Trust Quantum Mechanics,https://www.youtube.com/watch?v=qJZ1Ez28C-A,qJZ1Ez28C-A,Veritasium,"1,659,217 views",,33:37,2017,1659217,uLPz0WmYv_E
The Savings Expert: Are You Under 45? You Won't Get A Pension! Don't Buy A House! - Jaspreet Singh,https://www.youtube.com/watch?v=RSyX_665sEw,RSyX_665sEw,The Diary Of A CEO,"4,687,714 views",,2:28:47,8927,4687714,uLPz0WmYv_E
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"372,017 views",,57:11,3431,372017,uLPz0WmYv_E
The Business Expert: The SECRET FORMULA That Launches Billion-Dollar Companies!,https://www.youtube.com/watch?v=F__SF8b0fbY,F__SF8b0fbY,Jay Shetty Podcast,"1,394,136 views",,1:27:29,5249,1394136,uLPz0WmYv_E
Why You’re Broke: 5 Rules to Finally Take Control of Your Money,https://www.youtube.com/watch?v=x6S63406raY,x6S63406raY,Mel Robbins,"1,161,547 views",,1:29:29,5369,1161547,uLPz0WmYv_E
"MrBeast: If You Want To Be Liked, Don't Help People & I Lost Tens Of Millions On Beast Games!",https://www.youtube.com/watch?v=FjrJ2DJN_pA,FjrJ2DJN_pA,The Diary Of A CEO,"2,268,494 views",,1:43:15,6195,2268494,uLPz0WmYv_E
The SUGAR Expert: Everything You Need To Know About Glucose Spikes (& 5 HACKS TO PREVENT THEM),https://www.youtube.com/watch?v=MxovSnvSO4E,MxovSnvSO4E,Jay Shetty Podcast,"3,734,145 views",,1:11:11,4271,3734145,uLPz0WmYv_E
Morgan Housel: Understand & Apply the Psychology of Money to Gain Greater Happiness,https://www.youtube.com/watch?v=z5W74QC3v2I,z5W74QC3v2I,Andrew Huberman,"583,034 views",,2:15:36,8136,583034,uLPz0WmYv_E
Communicate with Confidence: The Blueprint for Mastering Every Conversation,https://www.youtube.com/watch?v=ZUCB3M_1Qp4,ZUCB3M_1Qp4,Mel Robbins,"2,219,285 views",,59:00,3540,2219285,uLPz0WmYv_E
"Dating Coach: This Dating Habit Is Keeping You Single! If You Want a Relationship, Do THIS.",https://www.youtube.com/watch?v=Tw_e9YdRXDg,Tw_e9YdRXDg,Jay Shetty Podcast,"116,838 views",,1:12:41,4361,116838,uLPz0WmYv_E
"Ask Yourself These 5 Questions - Find Peace, Purpose & Design Your Dream Life | Mel Robbins",https://www.youtube.com/watch?v=2Tr5Iqww2tM,2Tr5Iqww2tM,Dr Rangan Chatterjee,"111,332 views",,2:00:32,7232,111332,P91b4civBxA
The Fastest Way To Lose Belly Fat (THIS Is The Best Kept Weight Loss Secret) | Dr. Mindy Pelz,https://www.youtube.com/watch?v=bL2J_657prk,bL2J_657prk,Jay Shetty Podcast,"1,118,428 views",,1:29:01,5341,1118428,P91b4civBxA
SEVEN SILENT BUT DEADLY WAYS TO TAKE DOWN YOUR ENEMIES | Simon Sinek Motivational Speech,https://www.youtube.com/watch?v=escLh8K1mWg,escLh8K1mWg,Mindshift Movement,7 views,,19:51,1191,7,P91b4civBxA
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"372,017 views",,57:11,3431,372017,P91b4civBxA
Change Your Mindset ft. Mel Robbins | Khloé in Wonder Land Episode 3 | Khloé Kardashian,https://www.youtube.com/watch?v=_QhA6n5Axy4,_QhA6n5Axy4,Khloe Kardashian,"559,795 views",,55:24,3324,559795,P91b4civBxA
"3 Ways To Use The ""Let Them"" Theory | Mel Robbins Podcast Clips",https://www.youtube.com/watch?v=jtg0CpeTou4,jtg0CpeTou4,The Mel Robbins Podcast Clips,"2,102 views",,25:12,1512,2102,P91b4civBxA
How to Stop Screwing Yourself Over | The Mel Robbins Podcast,https://www.youtube.com/watch?v=SO9FHaF4EJw,SO9FHaF4EJw,Mel Robbins,"70,735 views",,1:10:25,4225,70735,P91b4civBxA
"""I've seen every toxic trick""- 21 Comebacks to Put a Narcissist in His Place & Finally Shut Him Up!",https://www.youtube.com/watch?v=yvPDFz5n7ng,yvPDFz5n7ng,Lisa Bilyeu,"4,014 views",,1:16:54,4614,4014,P91b4civBxA
Child Attachment Expert: We're Stressing Newborns & It's Causing ADHD! Hidden Dangers Of Daycare!,https://www.youtube.com/watch?v=cialLfVZqm4,cialLfVZqm4,The Diary Of A CEO,"430,947 views",,2:38:37,9517,430947,P91b4civBxA
Mel Robbins: How to Handle Difficult People with the Let Them Theory,https://www.youtube.com/watch?v=x48578Nmt1M,x48578Nmt1M,Jefferson Fisher,"29,267 views",,59:40,3580,29267,P91b4civBxA
Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,https://www.youtube.com/watch?v=nXs4UABX4Kc,nXs4UABX4Kc,Jay Shetty Podcast,"1,490,985 views",,1:18:54,4734,1490985,P91b4civBxA
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"822,832 views",,1:22:08,4928,822832,P91b4civBxA
WATCH THIS EVERY DAY To Brainwash Yourself For SUCCESS & ABUNDANCE! | Joe Dispenza & Jay Shetty,https://www.youtube.com/watch?v=4qykb6jKXdo,4qykb6jKXdo,Jay Shetty Podcast,"6,492,121 views",,20:25,1225,6492121,P91b4civBxA
Mel Robbins: The 'Let Them Theory' (Transform Your Life by Creating Boundaries + Unlocking Peace),https://www.youtube.com/watch?v=9OsNWnZJXrs,9OsNWnZJXrs,Lewis Howes,"232,619 views",,1:17:53,4673,232619,P91b4civBxA
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"56,793 views",,1:32:04,5524,56793,P91b4civBxA
"Mel Robbins ON: If You STRUGGLE With Stress & Anxiety, This Will CHANGE Your Life! | Jay Shetty",https://www.youtube.com/watch?v=LhYRD0XmzOU,LhYRD0XmzOU,Jay Shetty Podcast,"3,129,731 views",,1:26:23,5183,3129731,P91b4civBxA
"Eat THIS to Lose Fat, Prevent Disease, & Feel Better Now With Dr. William Li",https://www.youtube.com/watch?v=WSBVq3Wj7Lg,WSBVq3Wj7Lg,Mel Robbins,"539,252 views",,1:32:44,5564,539252,P91b4civBxA
Dr. Joe Dispenza: WATCH THIS To Rewire Your Brain & ATTRACT Anything You Want,https://www.youtube.com/watch?v=F-MEegYIWaM,F-MEegYIWaM,Jay Shetty Podcast,"1,140,854 views",,1:14:51,4491,1140854,P91b4civBxA
How To Handle Difficult People & Take Back Your Peace and Power,https://www.youtube.com/watch?v=XhBp6GZzH6k,XhBp6GZzH6k,Mel Robbins,"234,236 views",,50:59,3059,234236,P91b4civBxA
FULL SPEECH: Trump addresses Congress,https://www.youtube.com/watch?v=T8JvnG0r8vM,T8JvnG0r8vM,FOX 5 New York,"1,088,942 views",,1:39:11,5951,1088942,P91b4civBxA
LOVE EXPERT: Why Smart and Successful Women Have Less Success in Dating@MeetStephanSpeaks,https://www.youtube.com/watch?v=XtzbgvtsApE,XtzbgvtsApE,Jay Shetty Podcast,"180,373 views",,1:27:15,5235,180373,mPQBcb9wf8Q
"If A Man DEEPLY LOVES YOU, He Will DO THESE 3 Things! | Stephan Speaks & Lewis Howes",https://www.youtube.com/watch?v=ofzTcfQBnWw,ofzTcfQBnWw,Lewis Howes,"2,307,301 views",,2:03:00,7380,2307301,mPQBcb9wf8Q
