video_id,title,channel,views,in_degree_cent,betweenness,eigenvector,pagerank,influence,community
IYu_PDPqKFc,Codie Sanchez: They're Lying To You About How To Get Rich! How To Turn $0 Into $1M!,The Diary Of A CEO,2192588,0.0034739454094292804,0.002167078805735447,0.003827825567118997,0.0005792755371228843,0.002863194472628434,0
uLPz0WmYv_E,,,0,0.001488833746898263,0.001474609074862385,0.0004463828500033751,0.0004889689898415178,0.0011760896902028475,1
wmtCENAmYmU,Scott Galloway: The ONLY Savings Strategy You Need In Your 20s & 30s (Start With 3%),Jay Shetty Podcast,283797,0.00794044665012407,0.006119335753697416,0.025214088586594217,0.0008635155362420566,0.010141148657101902,1
XhBp6GZzH6k,How To Handle Difficult People & Take Back Your Peace and Power,Mel Robbins,236547,0.01488833746898263,0.003182828628169184,0.13839315225813273,0.0015286360415517576,0.03474167763182553,1
bY6JTLwkUzc,"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",Jay Shetty Podcast,61346,0.008933002481389578,0.004578092170882178,0.05822736390095067,0.0009841634777700504,0.016690517771787625,1
Y3WmxC9uyns,The 3 MONEY MYTHS That Keep You Poor! (How To Build Wealth) | Jaspreet Singh & Jay Shetty,Jay Shetty Podcast,2227936,0.0004962779156327543,0.00045576008463160504,4.616946269170901e-05,0.0004461204445348168,0.0003890851286344067,0
nJI_roT9Vxk,"The Money Expert: If You’re Living Paycheck to Paycheck, Please Watch This Video! | Anthony O'Neal",Lewis Howes,235219,0.004962779156327543,0.0007304302874539568,0.006263922496285811,0.0006599918517885791,0.003523024433203225,0
JP5USHGSF8o,The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,Simon Sinek,372300,0.021339950372208438,0.0015185428216983787,0.09566947371569086,0.0016387159447021475,0.028289309333001278,1
T8JvnG0r8vM,FULL SPEECH: Trump addresses Congress,FOX 5 New York,1422268,0.04714640198511166,0.0010209365103646438,0.2731072605068065,0.003206568570199168,0.07410695070553527,0
XkxZCJ2pYqs,The Money Expert: From $0 to Millions In 2 Years Without Any Hard Work!: Codie Sanchez | E258,The Diary Of A CEO,5909799,0.0009925558312655087,0.000315290470205587,0.0004420548924976512,0.0004707644056063241,0.0006270968926280423,0
ZUCB3M_1Qp4,Communicate with Confidence: The Blueprint for Mastering Every Conversation,Mel Robbins,2220523,0.015384615384615385,0.0023130291007223006,0.04569247764395141,0.0012103539495158253,0.01610728580780471,1
4qykb6jKXdo,WATCH THIS EVERY DAY To Brainwash Yourself For SUCCESS & ABUNDANCE! | Joe Dispenza & Jay Shetty,Jay Shetty Podcast,6492831,0.017369727047146403,0.01012392498049514,0.14310944252618948,0.00146954349201367,0.038753911167446364,2
7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",The Diary Of A CEO,2174475,0.05260545905707196,0.008885763059468626,0.3692936431721678,0.003675728732650575,0.09793421404836798,1
P91b4civBxA,Mel Robbins: The ‘Let Them Theory’ (A Life-Changing Hack That 15M People Can’t Stop Talking About),Jay Shetty Podcast,923187,0.01488833746898263,0.012704218289738283,0.055309139735005564,0.001216169551572886,0.02095004537667294,1
7ARBJQn6QkM,NVIDIA CEO Jensen Huang's Vision for the Future,Cleo Abram,1975920,0.0019851116625310174,0.0006959191992960004,0.004726316086337903,0.0005194037195677155,0.0020000240140255593,3
q5ycx357EoM,"Money Expert: If I Was Broke Today, This is EXACTLY What I'd Do! | Patrick Bet David",Lewis Howes,2334163,0.0004962779156327543,0.00042745205692609414,4.616946269170901e-05,0.0004461204445348168,0.0003805927203227535,0
x6S63406raY,Why You’re Broke: 5 Rules to Finally Take Control of Your Money,Mel Robbins,1161801,0.0024813895781637717,0.0010735684245108843,0.005808283288223348,0.0005501764531305455,0.0025313006615764982,1
rwAIXKxQw8o,The #1 Financial Freedom SECRET Rich People WON’T Tell You! | Codie Sanchez,Lewis Howes,585562,0.0009925558312655087,0.000748675842311411,0.0021764983782374164,0.0004733356927626079,0.0011042583301233708,0
F__SF8b0fbY,The Business Expert: The SECRET FORMULA That Launches Billion-Dollar Companies!,Jay Shetty Podcast,1394289,0.0004962779156327543,0.0003096015656438466,4.616946269170901e-05,0.0004461204445348168,0.0003452375729380792,0
jyCJeglqCe4,The Top 7 Money Making Hacks For 2025 That Are PROVEN To Work!,The Diary Of A CEO,2103765,0.001488833746898263,0.000290306124442285,0.0010899076305290914,0.0004988451196063499,0.000950491374158444,0
Tw_e9YdRXDg,"Dating Coach: This Dating Habit Is Keeping You Single! If You Want a Relationship, Do THIS.",Jay Shetty Podcast,117211,0.007444168734491315,0.002024894978215421,0.04766892362751443,0.0008793962201740716,0.013206860334781446,1
9OsNWnZJXrs,Mel Robbins: The 'Let Them Theory' (Transform Your Life by Creating Boundaries + Unlocking Peace),Lewis Howes,232750,0.0034739454094292804,0.0010886227904767266,0.02060111089007873,0.0006413377366499464,0.0059005209525954715,1
LhYRD0XmzOU,"Mel Robbins ON: If You STRUGGLE With Stress & Anxiety, This Will CHANGE Your Life! | Jay Shetty",Jay Shetty Podcast,3129870,0.0019851116625310174,0.0007941089053389335,0.008302612412966866,0.0005508479330953021,0.002747884612516991,1
CQ6lqkeQVQ4,WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,Jay Shetty Podcast,823104,0.012406947890818858,0.010115262296206146,0.05741078994877903,0.001129669643297199,0.01959248279927491,1
Kuv_-5blEj4,When Is The RIGHT Time To Let Go And Create A New Life | Mel Robbins Podcast Clips,The Mel Robbins Podcast Clips,1815,0.0024813895781637717,0.0006496760535508025,0.03092289539118148,0.0006285227925924989,0.007434890004826295,1
WSBVq3Wj7Lg,"Eat THIS to Lose Fat, Prevent Disease, & Feel Better Now With Dr. William Li",Mel Robbins,539627,0.007444168734491315,0.002257518801791017,0.04936840921002314,0.000896765281241124,0.013618281504462572,4
yvPDFz5n7ng,"""I've seen every toxic trick""- 21 Comebacks to Put a Narcissist in His Place & Finally Shut Him Up!",Lisa Bilyeu,7606,0.006947890818858561,0.0055109561294753905,0.08639855755115533,0.0009795246805676737,0.021810107144673876,12
_QhA6n5Axy4,Change Your Mindset ft. Mel Robbins | Khloé in Wonder Land Episode 3 | Khloé Kardashian,Khloe Kardashian,560254,0.005459057071960298,0.0010863818534940103,0.02998852571374072,0.0007573856736950045,0.008582981094949968,6
NIlPPC6sV9U,This Man Discovered How To REVERSE AGING & Make Himself 31 Years Younger (Data-Proven) @BryanJohnson,Jay Shetty Podcast,337068,0.004466501240694789,0.01014229133720408,0.009000822811722129,0.0006519574202968627,0.006694648201813253,1
BR-1OeY8BOA,How to Stop Caring What People Think of You,Mel Robbins,334836,0.0019851116625310174,0.0008070736296317386,0.02246644888013107,0.0006250218873744553,0.005591958718665588,1
iEo48f_Rs4w,Mel Robbins: Saying These 2 Words Could Fix Your Anxiety! (Brand New Trick),The Diary Of A CEO,2116044,0.002977667493796526,0.00050229466167315,0.02319067883461536,0.0006494048570486709,0.006044831648648494,1
VGUgfK1gfCs,"Mel Robbins ON: If You Struggle With ANXIETY in Your Relationships, This Will CHANGE Your Life!",Matthew Hussey,106727,0.003970223325062035,0.0007630019505760223,0.030626706288939792,0.0007123299779376294,0.008013564170779343,1
bL2J_657prk,The Fastest Way To Lose Belly Fat (THIS Is The Best Kept Weight Loss Secret) | Dr. Mindy Pelz,Jay Shetty Podcast,1118927,0.008436724565756823,0.007644762241995977,0.037555792774863775,0.0009082725174427901,0.013270104305618558,4
nXs4UABX4Kc,Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,Jay Shetty Podcast,1491368,0.007444168734491315,0.0035072914496651784,0.03853033127583405,0.0008617761668563016,0.01182209880054852,1
kMtNkJcJn3M,A Toolkit for Confidence: How to Build UNSHAKABLE Self Confidence | The Mel Robbins Podcast,Mel Robbins,1187475,0.0019851116625310174,0.00042654667139137157,0.013996642094494192,0.0005777378698217277,0.00377911087231083,1
qN06K97RR9o,"The Truth About Love: How to Find It, Keep It, and Let It Go With Jay Shetty | Mel Robbins Podcast",Mel Robbins,518629,0.001488833746898263,0.0005323115614172898,0.011895919634414229,0.000538260086534584,0.0031882369027207967,1
