title,link,video_id,channel,views,snippet,length_str,parsed_length,parsed_views,related_to
Codie Sanchez: They're Lying To You About How To Get Rich! How To Turn $0 Into $1M!,https://www.youtube.com/watch?v=IYu_PDPqKFc,IYu_PDPqKFc,The Diary Of A CEO,"2,192,588 views",,2:03:31,7411,2192588,uLPz0WmYv_E
Scott Galloway: The ONLY Savings Strategy You Need In Your 20s & 30s (Start With 3%),https://www.youtube.com/watch?v=wmtCENAmYmU,wmtCENAmYmU,Jay Shetty Podcast,"283,797 views",,1:29:45,5385,283797,uLPz0WmYv_E
How To Handle Difficult People & Take Back Your Peace and Power,https://www.youtube.com/watch?v=XhBp6GZzH6k,XhBp6GZzH6k,Mel Robbins,"236,547 views",,50:59,3059,236547,uLPz0WmYv_E
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"61,346 views",,1:32:04,5524,61346,uLPz0WmYv_E
The 3 MONEY MYTHS That Keep You Poor! (How To Build Wealth) | Jaspreet Singh & Jay Shetty,https://www.youtube.com/watch?v=Y3WmxC9uyns,Y3WmxC9uyns,Jay Shetty Podcast,"2,227,936 views",,1:11:41,4301,2227936,uLPz0WmYv_E
"The Money Expert: If You’re Living Paycheck to Paycheck, Please Watch This Video! | Anthony O'Neal",https://www.youtube.com/watch?v=nJI_roT9Vxk,nJI_roT9Vxk,Lewis Howes,"235,219 views",,51:26,3086,235219,uLPz0WmYv_E
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"372,300 views",,57:11,3431,372300,uLPz0WmYv_E
FULL SPEECH: Trump addresses Congress,https://www.youtube.com/watch?v=T8JvnG0r8vM,T8JvnG0r8vM,FOX 5 New York,"1,422,268 views",,1:39:11,5951,1422268,uLPz0WmYv_E
The Money Expert: From $0 to Millions In 2 Years Without Any Hard Work!: Codie Sanchez | E258,https://www.youtube.com/watch?v=XkxZCJ2pYqs,XkxZCJ2pYqs,The Diary Of A CEO,"5,909,799 views",,1:38:37,5917,5909799,uLPz0WmYv_E
Communicate with Confidence: The Blueprint for Mastering Every Conversation,https://www.youtube.com/watch?v=ZUCB3M_1Qp4,ZUCB3M_1Qp4,Mel Robbins,"2,220,523 views",,59:00,3540,2220523,uLPz0WmYv_E
WATCH THIS EVERY DAY To Brainwash Yourself For SUCCESS & ABUNDANCE! | Joe Dispenza & Jay Shetty,https://www.youtube.com/watch?v=4qykb6jKXdo,4qykb6jKXdo,Jay Shetty Podcast,"6,492,831 views",,20:25,1225,6492831,uLPz0WmYv_E
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,174,475 views",,2:38:50,9530,2174475,uLPz0WmYv_E
Mel Robbins: The ‘Let Them Theory’ (A Life-Changing Hack That 15M People Can’t Stop Talking About),https://www.youtube.com/watch?v=P91b4civBxA,P91b4civBxA,Jay Shetty Podcast,"923,187 views",,1:23:57,5037,923187,uLPz0WmYv_E
NVIDIA CEO Jensen Huang's Vision for the Future,https://www.youtube.com/watch?v=7ARBJQn6QkM,7ARBJQn6QkM,Cleo Abram,"1,975,920 views",,1:03:03,3783,1975920,uLPz0WmYv_E
"Money Expert: If I Was Broke Today, This is EXACTLY What I'd Do! | Patrick Bet David",https://www.youtube.com/watch?v=q5ycx357EoM,q5ycx357EoM,Lewis Howes,"2,334,163 views",,1:13:01,4381,2334163,uLPz0WmYv_E
Why You’re Broke: 5 Rules to Finally Take Control of Your Money,https://www.youtube.com/watch?v=x6S63406raY,x6S63406raY,Mel Robbins,"1,161,801 views",,1:29:29,5369,1161801,uLPz0WmYv_E
The #1 Financial Freedom SECRET Rich People WON’T Tell You! | Codie Sanchez,https://www.youtube.com/watch?v=rwAIXKxQw8o,rwAIXKxQw8o,Lewis Howes,"585,562 views",,1:49:05,6545,585562,uLPz0WmYv_E
The Business Expert: The SECRET FORMULA That Launches Billion-Dollar Companies!,https://www.youtube.com/watch?v=F__SF8b0fbY,F__SF8b0fbY,Jay Shetty Podcast,"1,394,289 views",,1:27:29,5249,1394289,uLPz0WmYv_E
The Top 7 Money Making Hacks For 2025 That Are PROVEN To Work!,https://www.youtube.com/watch?v=jyCJeglqCe4,jyCJeglqCe4,The Diary Of A CEO,"2,103,765 views",,1:21:17,4877,2103765,uLPz0WmYv_E
"Dating Coach: This Dating Habit Is Keeping You Single! If You Want a Relationship, Do THIS.",https://www.youtube.com/watch?v=Tw_e9YdRXDg,Tw_e9YdRXDg,Jay Shetty Podcast,"117,211 views",,1:12:41,4361,117211,uLPz0WmYv_E
How To Handle Difficult People & Take Back Your Peace and Power,https://www.youtube.com/watch?v=XhBp6GZzH6k,XhBp6GZzH6k,Mel Robbins,"236,547 views",,50:59,3059,236547,P91b4civBxA
Mel Robbins: The 'Let Them Theory' (Transform Your Life by Creating Boundaries + Unlocking Peace),https://www.youtube.com/watch?v=9OsNWnZJXrs,9OsNWnZJXrs,Lewis Howes,"232,750 views",,1:17:53,4673,232750,P91b4civBxA
"Mel Robbins ON: If You STRUGGLE With Stress & Anxiety, This Will CHANGE Your Life! | Jay Shetty",https://www.youtube.com/watch?v=LhYRD0XmzOU,LhYRD0XmzOU,Jay Shetty Podcast,"3,129,870 views",,1:26:23,5183,3129870,P91b4civBxA
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"823,104 views",,1:22:08,4928,823104,P91b4civBxA
When Is The RIGHT Time To Let Go And Create A New Life | Mel Robbins Podcast Clips,https://www.youtube.com/watch?v=Kuv_-5blEj4,Kuv_-5blEj4,The Mel Robbins Podcast Clips,"1,815 views",,27:40,1660,1815,P91b4civBxA
"Eat THIS to Lose Fat, Prevent Disease, & Feel Better Now With Dr. William Li",https://www.youtube.com/watch?v=WSBVq3Wj7Lg,WSBVq3Wj7Lg,Mel Robbins,"539,627 views",,1:32:44,5564,539627,P91b4civBxA
