title,link,video_id,channel,views,snippet,length_str,parsed_length,parsed_views
Codie Sanchez: They're Lying To You About How To Get Rich! How To Turn $0 Into $1M!,https://www.youtube.com/watch?v=IYu_PDPqKFc,IYu_PDPqKFc,The Diary Of A CEO,"2,189,823 views",,2:03:31,7411,2189823
The 3 MONEY MYTHS That Keep You Poor! (How To Build Wealth) | Jaspreet Singh & Jay Shetty,https://www.youtube.com/watch?v=Y3WmxC9uyns,Y3WmxC9uyns,Jay Shetty Podcast,"2,227,012 views",,1:11:41,4301,2227012
Mel Robbins: The ‘Let Them Theory’ (A Life-Changing Hack That 15M People Can’t Stop Talking About),https://www.youtube.com/watch?v=P91b4civBxA,P91b4civBxA,Jay Shetty Podcast,"917,941 views",,1:23:57,5037,917941
A 58 Year Old Self-Made Millionaire Shares Her Best Life Advice,https://www.youtube.com/watch?v=FItRprBYYTA,FItRprBYYTA,Sprouht,"2,735,641 views",,16:14,974,2735641
Scott Galloway: The ONLY Savings Strategy You Need In Your 20s & 30s (Start With 3%),https://www.youtube.com/watch?v=wmtCENAmYmU,wmtCENAmYmU,Jay Shetty Podcast,"278,814 views",,1:29:45,5385,278814
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"820,218 views",,1:22:08,4928,820218
The SUGAR Expert: Everything You Need To Know About Glucose Spikes (& 5 HACKS TO PREVENT THEM),https://www.youtube.com/watch?v=MxovSnvSO4E,MxovSnvSO4E,Jay Shetty Podcast,"3,732,974 views",,1:11:11,4271,3732974
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,130,865 views",,2:38:50,9530,2130865
"5 Rules of Money: How to Make It, Save It, & Be Smarter About It",https://www.youtube.com/watch?v=x6S63406raY,x6S63406raY,Mel Robbins,"1,159,995 views",,1:29:29,5369,1159995
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"31,594 views",,1:32:04,5524,31594
"Simon Sinek & Trevor Noah on Friendship, Loneliness, Vulnerability, and More | Full Conversation",https://www.youtube.com/watch?v=CNBxIhxHHxM,CNBxIhxHHxM,Simon Sinek,"2,850,148 views",,24:00,1440,2850148
Trick That Makes People Respect You In Seconds! Secret Agent Evy Poumpouras,https://www.youtube.com/watch?v=FtHa9qxjmok,FtHa9qxjmok,The Diary Of A CEO Clips,"365,367 views",,25:47,1547,365367
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"369,712 views",,57:11,3431,369712
Shark Tank Host: My Parents & I Escaped Communism With $20! THIS Unlocked Wealth for Me!,https://www.youtube.com/watch?v=M2e0WeBCYIs,M2e0WeBCYIs,Lewis Howes,"277,558 views",,1:11:58,4318,277558
The Fastest Way To Lose Belly Fat (THIS Is The Best Kept Weight Loss Secret) | Dr. Mindy Pelz,https://www.youtube.com/watch?v=bL2J_657prk,bL2J_657prk,Jay Shetty Podcast,"1,116,027 views",,1:29:01,5341,1116027
Tipping: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=89R9ZxKaIOw,89R9ZxKaIOw,LastWeekTonight,"2,729,515 views",,24:55,1495,2729515
The Savings Expert: Are You Under 45? You Won't Get A Pension! Don't Buy A House! - Jaspreet Singh,https://www.youtube.com/watch?v=RSyX_665sEw,RSyX_665sEw,The Diary Of A CEO,"4,683,870 views",,2:28:47,8927,4683870
